13:27:يىڭى يىل:21:212:قالتىس:1:74078
17:1:نېمىدېگەن گۈزەل:3:907:گۈزەل:1:83797
18:12:پاھ پاھ:12:717:ھەقىقى:2:84120,84122
20:6:ئەجەپ چىرايلىق:17:413:چىرايلىق:6:5570,35883,36100,55856,72836,95766
23:10:مول بولغان:11:497:داڭلىق:1:94846
23:10:مول بولغان:23:545:ئېسىل:1:107034
23:10:مول بولغان:26:37:مۇقۇم:1:23931
26:1:نېمىدېگەن چىرايلىق:17:413:چىرايلىق:1:100434
34:176:ياخشى بولاتتى:3:907:گۈزەل:4:47569,49156,50030,50037
34:176:ياخشى بولاتتى:10:150:ئاكتىپ:2:89594,89595
34:176:ياخشى بولاتتى:11:497:داڭلىق:1:54588
34:176:ياخشى بولاتتى:12:717:ھەقىقى:2:31232,74905
34:176:ياخشى بولاتتى:22:68:ئىناق:2:42873,94842
34:176:ياخشى بولاتتى:23:545:ئېسىل:5:42873,76860,76865,76872,86571
34:176:ياخشى بولاتتى:24:526:كۈچلۈك:1:49494
48:9:چوڭ سۇ:10:150:ئاكتىپ:1:70889
53:5:زور ئىش:14:276:مۇكەممەل:1:48543
60:101:ئىشنى قىل:3:907:گۈزەل:1:84126
60:101:ئىشنى قىل:10:150:ئاكتىپ:1:98090
60:101:ئىشنى قىل:16:268:ساغلام:1:85292
60:101:ئىشنى قىل:20:142:راھەت:1:41028
60:101:ئىشنى قىل:21:212:قالتىس:1:85292
60:101:ئىشنى قىل:30:573:ئاسان:2:7072,109491
60:101:ئىشنى قىل:33:142:ئىلغار:1:59292
63:95:ناھايىتى ياخشى:12:717:ھەقىقى:1:74905
63:95:ناھايىتى ياخشى:23:545:ئېسىل:1:59927
63:95:ناھايىتى ياخشى:27:73:سادىق:1:55691
63:95:ناھايىتى ياخشى:30:573:ئاسان:2:14660,109685
64:41:ياخشى بولدى:2:73:مۇنەۋۋەر:1:80126
64:41:ياخشى بولدى:3:907:گۈزەل:1:31205
64:41:ياخشى بولدى:18:164:خوشال:1:78008
64:41:ياخشى بولدى:26:37:مۇقۇم:1:75183
64:41:ياخشى بولدى:30:573:ئاسان:1:110738
69:106:دەم ئېلىش:1:100:پىشقان:1:97470
69:106:دەم ئېلىش:2:73:مۇنەۋۋەر:1:72486
69:106:دەم ئېلىش:6:304:بىخەتەر:1:2209
69:106:دەم ئېلىش:14:276:مۇكەممەل:1:75344
69:106:دەم ئېلىش:17:413:چىرايلىق:1:72486
69:106:دەم ئېلىش:29:28:كۆڭۈلدىكىدەك:1:106150
75:406:مۇبارەك بولسۇن:11:497:داڭلىق:1:33508
75:406:مۇبارەك بولسۇن:16:268:ساغلام:1:82430
75:406:مۇبارەك بولسۇن:17:413:چىرايلىق:6:32537,48485,56996,59425,68469,81714
75:406:مۇبارەك بولسۇن:18:164:خوشال:2:77543,98057
75:406:مۇبارەك بولسۇن:21:212:قالتىس:3:81714,99572,99577
75:406:مۇبارەك بولسۇن:23:545:ئېسىل:5:53255,56172,81714,107033,109079
75:406:مۇبارەك بولسۇن:24:526:كۈچلۈك:1:81714
75:406:مۇبارەك بولسۇن:25:75:خوشاللىق:2:77543,98057
75:406:مۇبارەك بولسۇن:30:573:ئاسان:4:38656,58086,70498,95065
82:11:يار بولغاي:30:573:ئاسان:1:95003
85:1:يېقىملىق كۈلۈمسىرەش:10:150:ئاكتىپ:1:31367
86:1:چىرايلىق بولغان:17:413:چىرايلىق:1:25383
94:3:ھەقىقەتەن قالتىسكەن:21:212:قالتىس:3:33059,48163,66146
