6-بەك ئامراق:37-سەت:1.4339861049221954
34-ياخشى بولاتتى:5-ئازار,27-ئاجىز,28-خاتالىق:6.287438298654241
60-ئىشنى قىل:6-قالايمىقان,14-ئاۋارىچىلىق,26-سەۋەنلىك,28-خاتالىق,37-سەت:16.04173033774122
63-ناھايىتى ياخشى:27-ئاجىز,37-سەت:2.5234606143039033
68-ئوڭۇشلۇق بولسۇن:37-سەت:2.635619966091846
69-دەم ئېلىش:14-ئاۋارىچىلىق,37-سەت:4.877509424794404
75-مۇبارەك بولسۇن:23-غەيرى,32-ساختا,37-سەت:1.845382839386711
104-بەك ياخشى:5-ئازار,17-قانۇنسىز,27-ئاجىز,28-خاتالىق,37-سەت:1.6699547710153637
105-ياخشى ئادەم:13-لۈكچەك,28-خاتالىق,32-ساختا:15.631939237263648
109-ساپ ھاۋا:22-قايغۇ,37-سەت:8.857182770334381
116-بەك كەڭ:28-خاتالىق:6.2445577396633425
138-بايرىمىڭلارغا مۇبارەك:23-غەيرى,37-سەت:6.567620251614668
165-بەك چىرايلىق:27-ئاجىز:3.0762671499069816
179-سۆھبەتنىڭ ياخشى:37-سەت:5.957548060979208
185-كېرەك دەپ:5-ئازار,14-ئاۋارىچىلىق,37-سەت:12.146170966425066
195-ناھايىتى زور:6-قالايمىقان,28-خاتالىق,37-سەت:9.200745969593761
211-ۋاقىت چىقىرىپ:37-سەت:1.4339861049221954
222-بۈگۈنكى كۈنگە:37-سەت:3.372585560258052
227-ئۈمىد قىلىمەن:6-قالايمىقان,28-خاتالىق,37-سەت:3.0006332820141357
251-ھېلىمۇ ياخشى:6-قالايمىقان,37-سەت:7.034142315533524
263-ياخشى ئىش:2-قوپال,5-ئازار,6-قالايمىقان,8-ئاداۋەت,17-قانۇنسىز,18-زوراۋانلىق,27-ئاجىز,28-خاتالىق,37-سەت:19.599910309182984
264-ئىش قىلىپ:6-قالايمىقان,23-غەيرى,28-خاتالىق:11.581338032435244
267-كۆڭلۈم يېرىم:2-قوپال,37-سەت:8.06383400047033
268-يېرىم بولدى:37-سەت:3.0506574653706897
269-خېلى كۆپ:27-ئاجىز,28-خاتالىق,37-سەت:5.26326548835833
277-چىرايلىق قىز:37-سەت:1.9575480609792084
281-كۆپ مەنىلىك:27-ئاجىز:8.120661269265435
285-مول ھوسۇل:22-قايغۇ:6.130589144195046
300-نېمىدىگەن ياخشى:37-سەت:2.0506574653706897
306-قايىل قىلدى:37-سەت:3.6356199660918462
321-ياخشى ئەھۋال:8-ئاداۋەت:9.790839772220439
330-ئىش بولىدۇ:22-قايغۇ:7.426045027721216
361-تەرەپكە قاراپ:27-ئاجىز:4.420221551124343
370-بار ئىكەن:6-قالايمىقان,26-سەۋەنلىك,28-خاتالىق,37-سەت:7.699642520214189
386-توي قىلىدىغان:37-سەت:3.1501931389216042
391-كۈن بولدى:1-بىنورمال,28-خاتالىق:6.491416317318906
412-بەكمۇ ياخشى:37-سەت:1.9575480609792084
416-چىرايلىق ئىكەن:37-سەت:2.787623059536896
428-سوۋغا قىلغان:37-سەت:3.1501931389216042
430-ئالىي مەكتەپ:28-خاتالىق,33-تېتىقسىز,37-سەت:3.6988069241541055
448-ئالىي مەكتەپكە:37-سەت:0.9575480609792082
