13-يىڭى يىل:21-قالتىس:4.285311738993688
17-نېمىدېگەن گۈزەل:3-گۈزەل:6.943160955191833
18-پاھ پاھ:12-ھەقىقى:4.697327886297295
20-ئەجەپ چىرايلىق:17-چىرايلىق:8.078121724300908
23-مول بولغان:11-داڭلىق,23-ئېسىل,26-مۇقۇم:17.081906975643456
26-نېمىدېگەن چىرايلىق:17-چىرايلىق:8.078121724300908
34-ياخشى بولاتتى:3-گۈزەل,10-ئاكتىپ,11-داڭلىق,12-ھەقىقى,22-ئىناق,23-ئېسىل,24-كۈچلۈك:12.769541602973241
48-چوڭ سۇ:10-ئاكتىپ:6.369376003782161
53-زور ئىش:14-مۇكەممەل:6.337667144054824
60-ئىشنى قىل:3-گۈزەل,10-ئاكتىپ,16-ساغلام,20-راھەت,21-قالتىس,30-ئاسان,33-ئىلغار:15.459684846968276
63-ناھايىتى ياخشى:12-ھەقىقى,23-ئېسىل,27-سادىق,30-ئاسان:7.864898733554513
64-ياخشى بولدى:2-مۇنەۋۋەر,3-گۈزەل,18-خوشال,26-مۇقۇم,30-ئاسان:19.308658457098876
69-دەم ئېلىش:1-پىشقان,2-مۇنەۋۋەر,6-بىخەتەر,14-مۇكەممەل,17-چىرايلىق,29-كۆڭۈلدىكىدەك:17.553709834589387
75-مۇبارەك بولسۇن:11-داڭلىق,16-ساغلام,17-چىرايلىق,18-خوشال,21-قالتىس,23-ئېسىل,24-كۈچلۈك,25-خوشاللىق,30-ئاسان:9.09800401231612
82-يار بولغاي:30-ئاسان:4.146296748326153
85-يېقىملىق كۈلۈمسىرەش:10-ئاكتىپ:9.539301005224475
86-چىرايلىق بولغان:17-چىرايلىق:8.078121724300908
94-ھەقىقەتەن قالتىسكەن:21-قالتىس:9.040199241157156
97-بەك چىرايلىقكەن:3-گۈزەل,17-چىرايلىق:13.021282679492742
102-بەك گۈزەل:3-گۈزەل:6.943160955191833
103-گۈزەل ئىكەن:3-گۈزەل:6.943160955191833
104-بەك ياخشى:2-مۇنەۋۋەر,6-بىخەتەر,11-داڭلىق,12-ھەقىقى,18-خوشال,20-راھەت,21-قالتىس,23-ئېسىل,24-كۈچلۈك,26-مۇقۇم,30-ئاسان,37-يېشىل:13.189562317722967
105-ياخشى ئادەم:6-بىخەتەر,12-ھەقىقى:5.894089948521469
107-گۈزەل شىنجاڭ:3-گۈزەل:6.943160955191833
109-ساپ ھاۋا:3-گۈزەل,16-ساغلام,17-چىرايلىق,24-كۈچلۈك:19.235717519340167
116-بەك كەڭ:26-مۇقۇم:8.558666330091405
145-جانغا راھەت:20-راھەت:9.618372576215673
160-ئېسىل ئات:23-ئېسىل:7.678007276056066
163-نىمىدىگەن چىرايلىق:17-چىرايلىق,37-يېشىل:17.091353917857795
165-بەك چىرايلىق:3-گۈزەل,16-ساغلام,17-چىرايلىق,24-كۈچلۈك:17.319331533108016
185-كېرەك دەپ:11-داڭلىق,12-ھەقىقى,20-راھەت,32-ئەرزان:13.89984517513553
195-ناھايىتى زور:6-بىخەتەر,21-قالتىس,22-ئىناق,24-كۈچلۈك:16.153463742784496
201-ئاجايىپ ياخشى:23-ئېسىل:4.870652353998462
205-چىرايلىق بولۇپ:16-ساغلام,17-چىرايلىق,24-كۈچلۈك:19.339427934549228
211-ۋاقىت چىقىرىپ:6-بىخەتەر,10-ئاكتىپ,18-خوشال:11.899375010432477
222-بۈگۈنكى كۈنگە:30-ئاسان:5.020765866242294
227-ئۈمىد قىلىمەن:2-مۇنەۋۋەر,3-گۈزەل,10-ئاكتىپ,11-داڭلىق,12-ھەقىقى,14-مۇكەممەل,16-ساغلام,17-چىرايلىق,21-قالتىس,23-ئېسىل,31-ئۇلۇغۋار,33-ئىلغار:20.566402851764895
233-خۇشال بولدۇم:23-ئېسىل:4.21857565741877
251-ھېلىمۇ ياخشى:23-ئېسىل:4.285689853277306
263-ياخشى ئىش:3-گۈزەل,12-ھەقىقى,17-چىرايلىق,18-خوشال,20-راھەت,23-ئېسىل,24-كۈچلۈك,25-خوشاللىق,26-مۇقۇم,30-ئاسان,32-ئەرزان,33-ئىلغار:15.252180807793835
264-ئىش قىلىپ:3-گۈزەل,24-كۈچلۈك,30-ئاسان:5.013427522092929
267-كۆڭلۈم يېرىم:23-ئېسىل:3.1544453199990534
268-يېرىم بولدى:30-ئاسان:3.6988377713549316
269-خېلى كۆپ:2-مۇنەۋۋەر,12-ھەقىقى,17-چىرايلىق,18-خوشال,23-ئېسىل:9.594779579401944
277-چىرايلىق قىز:3-گۈزەل,17-چىرايلىق:11.02128267949274
285-مول ھوسۇل:3-گۈزەل:4.773235953749521
299-كۆك كەپتەر:6-بىخەتەر:6.712837260219165
300-نېمىدىگەن ياخشى:3-گۈزەل,18-خوشال:10.124909955798223
305-ھەقىقەتەن قايىل:24-كۈچلۈك:5.1442382057068965
308-بەك خوشال:18-خوشال:9.41056769110227
309-خوشال بولدۇم:12-ھەقىقى,18-خوشال:13.885503156063116
316-قولىغا چۈشۈپ:20-راھەت:7.618372576215672
330-ئىش بولىدۇ:16-ساغلام,23-ئېسىل:9.461174544044056
353-زامانغا لايىق:33-ئىلغار:8.618372576215673
358-كۆپ ياخشى:17-چىرايلىق,21-قالتىس:10.474464775683341
361-تەرەپكە قاراپ:3-گۈزەل,12-ھەقىقى:6.824571905928099
364-گەپ بولدى:12-ھەقىقى:3.375399791409932
369-جىق يەر:10-ئاكتىپ,11-داڭلىق:12.180393657940229
370-بار ئىكەن:3-گۈزەل,12-ھەقىقى,16-ساغلام,17-چىرايلىق,22-ئىناق,30-ئاسان,32-ئەرزان,37-يېشىل:8.765051456516252
372-يېڭى دەۋىر:24-كۈچلۈك:5.40727261154069
378-قىزىل رەڭ:10-ئاكتىپ,20-راھەت,27-سادىق,37-يېشىل:23.461488532287923
382-گۈزەل بولۇپ:3-گۈزەل,32-ئەرزان:15.561533531407505
391-كۈن بولدى:21-قالتىس:2.5010404300491245
403-كۈندە كۆرۈپ:11-داڭلىق:6.2260551534369135
416-چىرايلىق ئىكەن:17-چىرايلىق:8.078121724300908
422-بەك خۇشال:20-راھەت,29-كۆڭۈلدىكىدەك:14.66027411260383
429-بەكمۇ چىرايلىق:17-چىرايلىق:8.078121724300908
430-ئالىي مەكتەپ:3-گۈزەل,11-داڭلىق,12-ھەقىقى,14-مۇكەممەل,24-كۈچلۈك,30-ئاسان:6.594719104729323
448-ئالىي مەكتەپكە:3-گۈزەل,11-داڭلىق,24-كۈچلۈك,30-ئاسان:10.089107682741403
462-بەك پەيزى:17-چىرايلىق,21-قالتىس,26-مۇقۇم,30-ئاسان:12.848617835400244
475-مەي باغلاپ:1-پىشقان:10.12426350594563
476-ياخشى مۇئامىلە:3-گۈزەل:4.24272123705074
485-نىمدىگەن چىرايلىق:17-چىرايلىق:8.078121724300908
492-ئوماق قىز:11-داڭلىق,17-چىرايلىق:8.488259942176795
496-ئىگىز تاغ:3-گۈزەل:5.943160955191833
498-چىرايلىق رەسىم:17-چىرايلىق:8.078121724300908
499-رەسىم بولغان:17-چىرايلىق:7.07812172430091
500-تېخىمۇ ياخشى:3-گۈزەل,17-چىرايلىق,24-كۈچلۈك:2.4880948621697767
501-ياخشى بولاركەنتۇق:17-چىرايلىق:8.078121724300908
506-ياخشى چىقىپتۇ:30-ئاسان:2.320326148101202
508-رول ئالغان:11-داڭلىق,12-ھەقىقى:6.996329404805982
509-بەكلا ئېسىل:23-ئېسىل:7.678007276056066
510-ئېسىل ئىكەن:23-ئېسىل:7.678007276056066
515-تېز سۈرئەتتە:6-بىخەتەر,14-مۇكەممەل,16-ساغلام,24-كۈچلۈك,33-ئىلغار:14.007420612332997
516-مۇۋەپپەقىيەت قازىنىشنىڭ:14-مۇكەممەل,24-كۈچلۈك:6.879020941043302
517-نۇتۇقۇم مۇۋەپپەقىيەتلىك:24-كۈچلۈك:6.1442382057068965
518-مۇۋەپپەقىيەتلىك ئاخىرلاشتى:24-كۈچلۈك:4.921845784370449
531-مەكتەپ پۈتتۈرۈش:3-گۈزەل:3.9431609551918325
534-ئەسلىدىكى نورمال:21-قالتىس:9.040199241157156
535-نورمال ئىقتىدارىغا:21-قالتىس:9.040199241157156
536-تەسىر يەتكۈزمىگەن:6-بىخەتەر,21-قالتىس:14.390466421991613
537-ئاساستا كىچىكلىتىش:21-قالتىس:9.040199241157156
538-ھەقىقەتەن قالتىس:11-داڭلىق,21-قالتىس:13.266254394594068
540-ئوغۇرسى كۈچلۈك:24-كۈچلۈك:7.729200706428053
541-كۈچلۈك دەپ:6-بىخەتەر,24-كۈچلۈك:13.442037966647218
549-يۇمشاق دېتال:2-مۇنەۋۋەر,3-گۈزەل,6-بىخەتەر,12-ھەقىقى,14-مۇكەممەل,21-قالتىس,23-ئېسىل,24-كۈچلۈك:14.323925712025353
551-خېلى يامان:18-خوشال,25-خوشاللىق:10.136087505109709
554-ياخشى كۆرىدىغان:3-گۈزەل,12-ھەقىقى,15-بەخىتلىك,16-ساغلام,33-ئىلغار:12.008247361733194
557-ئۇيغۇرچىنى سۆزلىيەلەيدۇ:11-داڭلىق:7.811017654158069
558-بەك راۋانمۇ:11-داڭلىق:7.811017654158069
559-راۋانمۇ ئەمەس:11-داڭلىق:7.811017654158069
560-تېنىگە سالامەتلىك:11-داڭلىق:6.2260551534369135
561-سالامەتلىك تەتقىقاتىغا:11-داڭلىق:7.811017654158069
562-تەتقىقاتىغا راۋاج:11-داڭلىق:7.811017654158069
563-راۋاج بەرسۇن:11-داڭلىق:7.811017654158069
572-ئازراق ۋاقىت:10-ئاكتىپ,30-ئاسان:9.501173182413199
574-قىسقا مېغىزلىق:30-ئاسان:6.60572836696345
577-قالتىس رەسىمكەن:21-قالتىس:9.040199241157156
